Rut Empresa;Nombre Empresa;N£mero de cuenta;Moneda;Saldo Contable 09AM;Retenci¢n 1 D¡a;Retenci¢n + 1 D¡a;Saldo Contable;Saldo Disponible
70.037.600-1;BCI ADMINISTRACION CENTRAL;35401206;CLP;0;0;0;0;0
70.037.600-1;BCI ADMINISTRACION CENTRAL;35401214;CLP;2.070.255;0;0;2.057.374;2.057.374
70.037.600-1;BCI ADMINISTRACION CENTRAL;35401222;CLP;31.042.671;0;0;30.979.934;30.979.934
70.037.600-1;BCI ADMINISTRACION CENTRAL;35401231;CLP;4.746.219;0;0;4.742.321;4.742.321
70.037.600-1;BCI ADMINISTRACION CENTRAL;35401249;CLP;17.497.032;0;0;17.468.560;17.468.560
70.037.600-1;BCI ADMINISTRACION CENTRAL;35401419;CLP;2.311.161;0;0;2.289.262;2.289.262
70.037.600-1;BCI ADMINISTRACION CENTRAL;35401460;CLP;790.037;0;0;790.037;790.037
70.037.600-1;BCI ADMINISTRACION CENTRAL;35401478;CLP;17.427.277;0;0;17.427.277;17.427.277
70.037.600-1;BCI ADMINISTRACION CENTRAL;35401486;CLP;24.893.423;0;0;24.893.423;24.893.423
70.037.600-1;BCI ADMINISTRACION CENTRAL;35401494;CLP;8.610.558;0;0;8.610.558;8.610.558
70.037.600-1;BCI ADMINISTRACION CENTRAL;35401508;CLP;95.915;0;0;95.915;95.915
70.037.600-1;BCI ADMINISTRACION CENTRAL;35401516;CLP;3.550.513;0;0;3.550.513;3.550.513
70.037.600-1;BCI ADMINISTRACION CENTRAL;35401524;CLP;1.638.504;0;0;1.638.504;1.638.504
70.037.600-1;BCI ADMINISTRACION CENTRAL;52290557;CLP;4.873.217;0;0;4.790.116;4.790.116
70.037.600-1;BCI ADMINISTRACION CENTRAL;52292819;CLP;6.682.647;0;0;6.603.615;6.603.615
70.037.600-1;BCI ADMINISTRACION CENTRAL;52292827;CLP;43.520.398;0;0;43.477.648;43.477.648
70.037.600-1;BCI ADMINISTRACION CENTRAL;52292835;CLP;66.143.764;0;0;66.041.311;66.041.311
70.037.600-1;BCI ADMINISTRACION CENTRAL;52292843;CLP;0;0;0;0;0
70.037.600-1;BCI ADMINISTRACION CENTRAL;52292851;CLP;73.395.199;0;0;73.208.714;73.208.714
70.037.600-1;BCI ADMINISTRACION CENTRAL;52292878;CLP;25.340.905;0;0;25.319.444;25.319.444
70.037.600-1;BCI ADMINISTRACION CENTRAL;52292886;CLP;42.153.498;0;0;42.060.251;42.060.251
70.037.600-1;BCI ADMINISTRACION CENTRAL;52292894;CLP;40.788.333;0;0;40.699.125;40.699.125
70.037.600-1;BCI ADMINISTRACION CENTRAL;52292908;CLP;36.663.214;0;0;36.532.476;36.532.476
70.037.600-1;BCI ADMINISTRACION CENTRAL;52292924;CLP;33.716.446;0;0;33.629.527;33.629.527
70.037.600-1;BCI ADMINISTRACION CENTRAL;52292932;CLP;2.450;0;0;2.450;2.450
70.037.600-1;BCI ADMINISTRACION CENTRAL;52292941;CLP;41.481.943;0;0;41.347.071;41.347.071
70.037.600-1;BCI ADMINISTRACION CENTRAL;52292959;CLP;0;0;0;0;0
70.037.600-1;BCI ADMINISTRACION CENTRAL;52292967;CLP;37.175.818;0;0;37.045.059;37.045.059
70.037.600-1;BCI ADMINISTRACION CENTRAL;52292975;CLP;22.548.855;0;0;22.548.855;22.548.855
70.037.600-1;BCI ADMINISTRACION CENTRAL;52292983;CLP;68.760.768;0;0;68.637.112;68.637.112
70.037.600-1;BCI ADMINISTRACION CENTRAL;52292991;CLP;56.154.071;0;0;55.884.912;55.884.912
70.037.600-1;BCI ADMINISTRACION CENTRAL;52293009;CLP;9.691.607;0;0;9.676.382;9.676.382
70.037.600-1;BCI ADMINISTRACION CENTRAL;52293017;CLP;41.148.841;0;0;41.037.053;41.037.053
70.037.600-1;BCI ADMINISTRACION CENTRAL;61430056;CLP;40.061.501;0;0;39.833.095;39.833.095
70.037.600-1;BCI ADMINISTRACION CENTRAL;61430064;CLP;21.502.715;0;0;21.401.640;21.401.640
70.037.600-1;BCI ADMINISTRACION CENTRAL;61430072;CLP;62.529.802;0;0;62.342.394;62.342.394
70.037.600-1;BCI ADMINISTRACION CENTRAL;61430081;CLP;9.562.611;0;0;9.385.307;9.385.307
70.037.600-1;BCI ADMINISTRACION CENTRAL;61430099;CLP;8.836.893;0;0;8.726.403;8.726.403
70.037.600-1;BCI ADMINISTRACION CENTRAL;61430102;CLP;13.115.819;0;0;13.105.777;13.105.777
70.037.600-1;BCI ADMINISTRACION CENTRAL;61430111;CLP;46.225.509;0;0;46.061.867;46.061.867
70.037.600-1;BCI ADMINISTRACION CENTRAL;61430129;CLP;34.342.633;0;0;34.208.993;34.208.993
70.037.600-1;BCI ADMINISTRACION CENTRAL;61430137;CLP;24.881.765;0;0;23.968.134;23.968.134
70.037.600-1;BCI ADMINISTRACION CENTRAL;61431389;CLP;80.781;0;0;37.342;37.342
70.037.600-1;BCI ADMINISTRACION CENTRAL;61431397;CLP;8.301.748;0;0;7.709.557;7.709.557
70.037.600-1;BCI ADMINISTRACION CENTRAL;61431401;CLP;26.623.592;0;0;26.468.510;26.468.510
70.037.600-1;BCI ADMINISTRACION CENTRAL;61511846;CLP;21.868.575;0;0;21.820.058;21.820.058
70.037.600-1;BCI ADMINISTRACION CENTRAL;61511854;CLP;61.459.908;0;0;61.336.963;61.336.963
70.037.600-1;BCI ADMINISTRACION CENTRAL;61511862;CLP;3.568.762;0;0;3.568.762;3.568.762
70.037.600-1;BCI ADMINISTRACION CENTRAL;61511871;CLP;0;0;0;0;0
70.037.600-1;BCI ADMINISTRACION CENTRAL;70467102;CLP;2.911.448;0;0;2.894.198;2.894.198
70.037.600-1;BCI ADMINISTRACION CENTRAL;70467111;CLP;25.188.883;0;0;24.473.857;24.473.857
70.037.600-1;BCI ADMINISTRACION CENTRAL;70467129;CLP;10.759.839;0;0;10.660.487;10.660.487
70.037.600-1;BCI ADMINISTRACION CENTRAL;70467137;CLP;0;0;0;0;0
